job_id,submit_time,wait_time,runtime,allocated_CPUs,avg_CPU_time_used,used_memory,requested_CPUs,requested_time,requested_memory,status,user_id,group_id,executable_number,queue_number,partition_number,preceding_job_number,think_time_from_preceding_job,CPU_time,start_time,end_time,num_running_jobs,running_job_requested_CPUs,running_job_requested_CPU_time,running_job_requested_wallclock_limit,running_job_nodes_assigned,running_job_mean_CPUs,running_job_mean_CPU_time,running_job_mean_wallclock_limit,elapsed_runtime_total,elapsed_runtime_mean,num_waiting_jobs,waiting_job_requested_CPUs,waiting_job_requested_CPU_time,waiting_job_requested_wallclock_limit,waiting_job_mean_CPUs,waiting_job_mean_CPU_time,waiting_job_mean_wallclock_limit,elapsed_waiting_time_total,elapsed_waiting_time_mean,should_wait_runtime_predicted,should_wait_runtime_actual,should_wait_runtime_predicted_5,should_wait_runtime_predicted_10,should_wait_runtime_predicted_15,should_wait_runtime_predicted_30,should_wait_runtime_predicted_60
228,18385132,3796,414,4096,-1,-1,4096,10800,-1,-1,73,-1,-1,2,-1,-1,-1,44236800,18388928,18389342,29,95219,1804105200,678300,,3283.413793,62210524.14,23389.65517,228015,7862.586207,48,442500,3796880400,603300,9218.75,79101675,12568.75,344687,7180.979167,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
229,18385134,15,305,512,-1,-1,512,3600,-1,-1,73,-1,-1,3,-1,-1,-1,1843200,18385149,18385454,29,95219,1804105200,678300,,3283.413793,62210524.14,23389.65517,228073,7864.586207,49,446596,3841117200,614100,9114.204082,78390146.94,12532.65306,344785,7036.428571,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
230,18385135,6749,593,8192,-1,-1,8192,3600,-1,-1,73,-1,-1,2,-1,-1,-1,29491200,18391884,18392477,29,95219,1804105200,678300,,3283.413793,62210524.14,23389.65517,228102,7865.586207,50,447108,3842960400,617700,8942.16,76859208,12354,344835,6896.7,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
231,18385421,1894,1515,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18387315,18388830,29,127987,2040802800,672900,,4413.344828,70372510.34,23203.44828,229754,7922.551724,47,386948,3474627600,607200,8232.93617,73928246.81,12919.14894,339818,7230.170213,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
232,18387140,905,10140,2048,-1,-1,2035,14400,-1,-1,16,-1,-1,2,-1,-1,-1,29304000,18388045,18398185,30,139776,2048409600,670200,,4659.2,68280320,22340,247705,8256.833333,38,353156,3380624400,566700,9293.578947,88963800,14913.15789,386512,10171.36842,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
233,18387183,11,962,1024,-1,-1,256,1800,-1,-1,230,-1,-1,3,-1,-1,-1,460800,18387194,18388156,30,139776,2048409600,670200,,4659.2,68280320,22340,248995,8299.833333,39,355191,3409928400,581100,9107.461538,87434061.54,14900,388189,9953.564103,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,18387223,10980,10166,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18398203,18408369,31,140032,2048870400,672000,,4517.16129,66092593.55,21677.41935,250224,8071.741935,39,355191,3409928400,581100,9107.461538,87434061.54,14900,389749,9993.564103,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
235,18387367,442,1619,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18387809,18389428,29,72448,1633536000,655200,,2498.206897,56328827.59,22593.10345,250656,8643.310345,39,355178,3424440000,588300,9107.128205,87806153.85,15084.61538,393563,10091.35897,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
236,18387521,12,3534,1024,-1,-1,256,3600,-1,-1,17,-1,-1,3,-1,-1,-1,921600,18387533,18391067,30,72960,1653811200,694800,,2432,55127040,23160,255267,8508.9,39,356714,3426283200,559500,9146.512821,87853415.38,14346.15385,394408,10113.02564,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
237,18387645,12,2151,65536,-1,-1,65536,3600,-1,-1,93,-1,-1,81,-1,-1,-1,235929600,18387657,18389808,31,73216,1654732800,698400,,2361.806452,53378477.42,22529.03226,259099,8358.032258,39,356714,3426283200,559500,9146.512821,87853415.38,14346.15385,399244,10237.02564,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
